ID,Nome,Matricula,Setor
1,Erick,53,TI
2,Welton,55,Suporte
3,Paulo,56,Suporte
4,Djalma,57,Administração
7,João Silva,12345,TI
8,Maria Souza,54321,RH
9,Paulo Lima,67890,Operacional
10,Teste,Final,Realizar
12,Usuário 1,MAT0001,Setor 2
13,Usuário 2,MAT0002,Setor 3
14,Usuário 3,MAT0003,Setor 4
15,Usuário 4,MAT0004,Setor 5
16,Usuário 5,MAT0005,Setor 1
17,Usuário 6,MAT0006,Setor 2
18,Usuário 7,MAT0007,Setor 3
19,Usuário 8,MAT0008,Setor 4
20,Usuário 9,MAT0009,Setor 5
21,Usuário 10,MAT0010,Setor 1
22,Usuário 11,MAT0011,Setor 2
23,Usuário 12,MAT0012,Setor 3
24,Usuário 13,MAT0013,Setor 4
25,Usuário 14,MAT0014,Setor 5
26,Usuário 15,MAT0015,Setor 1
27,Usuário 16,MAT0016,Setor 2
28,Usuário 17,MAT0017,Setor 3
29,Usuário 18,MAT0018,Setor 4
30,Usuário 19,MAT0019,Setor 5
31,Usuário 20,MAT0020,Setor 1
32,Usuário 21,MAT0021,Setor 2
33,Usuário 22,MAT0022,Setor 3
34,Usuário 23,MAT0023,Setor 4
35,Usuário 24,MAT0024,Setor 5
36,Usuário 25,MAT0025,Setor 1
37,Usuário 26,MAT0026,Setor 2
38,Usuário 27,MAT0027,Setor 3
39,Usuário 28,MAT0028,Setor 4
40,Usuário 29,MAT0029,Setor 5
41,Usuário 30,MAT0030,Setor 1
42,Usuário 31,MAT0031,Setor 2
43,Usuário 32,MAT0032,Setor 3
44,Usuário 33,MAT0033,Setor 4
45,Usuário 34,MAT0034,Setor 5
46,Usuário 35,MAT0035,Setor 1
47,Usuário 36,MAT0036,Setor 2
48,Usuário 37,MAT0037,Setor 3
49,Usuário 38,MAT0038,Setor 4
50,Usuário 39,MAT0039,Setor 5
51,Usuário 40,MAT0040,Setor 1
